% Model:              板.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2022, 16:58
% Dimension:          3
% Nodes:              2858
% Expressions:        1
% Description:        体
% x                       y                        z                        电流密度模
0                         0                        -10                      0
0                         0                        -7.499999999999999       0
0                         0                        -4.999999999999999       0
0                         0                        -2.5                     0
0                         0                        0                        0
0                         2.9411764705882155       -10                      0.32938144178365625
0                         2.9411764705882297       -7.500000000000015       4.024664109770067
0                         2.9411764705882297       -5.000000000000031       7.859381024433841
0                         2.9411764705882297       -2.5000000000000373      11.986916645227874
0                         2.9411764705882373       0                        16.598396441878066
0                         5.882352941176462        -10                      0.6559768202816946
0                         5.882352941176468        -7.500000000000015       7.911514253684294
0                         5.882352941176468        -5.000000000000039       15.431611500537645
0                         5.882352941176468        -2.5000000000000457      23.504568927661946
0                         5.882352941176472        0                        32.4979762395649
0                         8.82352941176468         -10                      0.9797280920971386
0                         8.823529411764689        -5.000000000000023       22.460736552375256
0                         8.82352941176469         -7.499999999999998       11.536723423228624
0                         8.82352941176469         -2.500000000000029       34.1502264640785
0                         8.823529411764712        0                        47.0601280873819
0                         11.76470588235291        -7.500000000000007       14.800398498719984
0                         11.76470588235291        -5.000000000000031       28.74280021190396
0                         11.76470588235291        -2.5000000000000373      43.60632167442275
0                         11.76470588235292        -9.999999999999996       1.3022043544727566
0                         11.764705882352944       0                        59.96962789964399
0                         14.705882352941131       -5.000000000000031       34.13769632739174
0                         14.705882352941133       -7.500000000000007       17.63322255951284
0                         14.70588235294116        -2.5000000000000373      51.65365783599103
0                         14.705882352941162       -10.000000000000002      1.6171454651187
0                         14.70588235294118        0                        70.81631228163756
0                         17.647058823529417       -10.000000000000004      1.9283498996428232
0                         17.647058823529417       0                        79.46665201916683
0                         17.647058823529438       -7.500000000000007       19.99866842807581
0                         17.647058823529438       -5.000000000000031       38.57314170125444
0                         17.647058823529438       -2.5000000000000373      58.190494828951515
0                         20.58823529411764        -10                      2.2367937614810462
0                         20.588235294117656       0                        86.05612399022776
0                         20.58823529411766        -7.500000000000007       21.89173184585312
0                         20.588235294117677       -5.000000000000031       42.041809042392885
0                         20.588235294117677       -2.5000000000000373      63.21085705159224
0                         23.529411764705873       -10                      2.5429222760269576
0                         23.52941176470589        0                        90.50958293969029
0                         23.5294117647059         -2.5000000000000373      66.80331725851873
0                         23.529411764705927       -7.500000000000007       23.3332779361752
0                         23.529411764705927       -5.000000000000031       44.59033400736338
0                         26.4705882352941         -10                      2.84901811223649
0                         26.47058823529412        -7.500000000000007       24.363394618949883
0                         26.470588235294123       0                        93.30319805683949
0                         26.470588235294144       -5.000000000000031       46.304176511093786
0                         26.470588235294144       -2.5000000000000373      69.11530228666486
0                         29.411764705882334       -10                      3.1585635399860754
0                         29.41176470588236        0                        94.61721066785366
0                         29.411764705882383       -7.500000000000007       25.033460393273735
0                         29.411764705882383       -2.5000000000000373      70.3223171617122
0                         29.411764705882412       -5.000000000000031       47.28966514408117
0                         32.35294117647058        -10                      3.472446171367088
0                         32.3529411764706         0                        94.6005085296384
0                         32.352941176470615       -7.500000000000007       25.399477069504748
0                         32.352941176470615       -5.000000000000031       47.65998426589143
0                         32.352941176470615       -2.5000000000000373      70.59932100650401
0                         35.29411764705881        -10.000000000000002      3.794579713506252
0                         35.29411764705883        -7.500000000000007       25.517511821842323
0                         35.29411764705883        -5.000000000000031       47.52761313932645
0                         35.29411764705883        -2.5000000000000373      70.12034731599735
0                         35.29411764705884        0                        93.65218162906041
0                         38.23529411764704        -9.999999999999998       4.128028420779078
0                         38.23529411764705        -5.000000000000031       46.99773287550478
0                         38.23529411764705        -2.5000000000000373      69.05020053264744
0                         38.23529411764706        -7.500000000000007       25.440858857556343
0                         38.23529411764708        0                        91.91225736820657
0                         41.1764705882353         -10                      4.476446754804952
0                         41.17647058823531        0                        89.55889703037278
0                         41.17647058823533        -7.500000000000007       25.21752805681906
0                         41.17647058823533        -5.000000000000031       46.164311098704275
0                         41.17647058823533        -2.5000000000000373      67.52781001012542
0                         44.11764705882352        -10                      4.842181221542327
0                         44.117647058823536       -7.499999999999989       24.889530458163478
0                         44.117647058823536       -5.000000000000013       45.10842224805335
0                         44.117647058823536       -2.5000000000000195      65.67434196021051
0                         44.11764705882355        0                        86.82132584195237
0                         47.05882352941176        -10                      5.230044240670984
0                         47.05882352941176        -7.500000000000007       24.492581958881573
0                         47.05882352941176        -5.000000000000031       43.89808433093295
0                         47.05882352941176        -2.5000000000000373      63.59256069152363
0                         47.05882352941178        0                        83.7701361058477
0                         49.999999999999986       -7.500000000000007       24.056594915728496
0                         49.999999999999986       -5.000000000000031       42.58941620771063
0                         49.999999999999986       -2.5000000000000373      61.360200760125466
0                         49.99999999999999        -10                      5.642157215166672
0                         50.000000000000014       0                        80.54325300806998
0                         52.94117647058821        -9.999999999999998       6.082669830398541
0                         52.94117647058824        -7.500000000000007       23.60610798791267
0                         52.941176470588246       0                        77.20685248755781
0                         52.941176470588275       -5.000000000000031       41.22742072228275
0                         52.941176470588275       -2.5000000000000373      59.0446814129703
0                         55.882352941176464       -10.000000000000002      6.555447731387368
0                         55.882352941176464       -7.500000000000007       23.1610532905235
0                         55.88235294117648        0                        73.83633813814049
0                         55.882352941176485       -5.000000000000031       39.84785826742923
0                         55.882352941176485       -2.5000000000000373      56.69550981633394
0                         58.823529411764696       -10.000000000000002      7.06383995943826
0                         58.82352941176471        -5.000000000000031       38.47843175732352
0                         58.82352941176471        -2.5000000000000373      54.35062165434339
0                         58.82352941176471        0                        70.47633577479482
